ticker,signal_date,signal_type,prev_date,prev_close,prev_high,prev_low,prev_volume,prev_vol_ma5,today_open,today_open_gap_pct,stop_loss
3380,2026-05-15,bullish_entry,2026-05-14,31.6,32.7,31.5,3104187.0,2710820.0,31.8,0.0063,31.5
3443,2026-05-15,bullish_entry,2026-05-14,5075.0,5515.0,5055.0,2742620.0,2684738.2,5140.0,0.0128,5055.0
3447,2026-05-15,bullish_entry,2026-05-14,36.3,37.9,36.25,435630.0,258143.8,36.4,0.0028,36.25
3481,2026-05-15,bullish_entry,2026-05-14,35.4,38.65,35.0,998720739.0,882977650.0,35.8,0.0113,35.0
3483,2026-05-15,bullish_entry,2026-05-14,87.0,88.5,86.0,1334477.0,1048554.8,88.8,0.0207,86.0
3492,2026-05-15,bullish_entry,2026-05-14,22.6,22.8,22.6,65399.0,64474.2,22.7,0.0044,22.6
3501,2026-05-15,bullish_entry,2026-05-14,38.8,42.25,38.65,2740903.0,1003539.0,39.35,0.0142,38.65
3508,2026-05-15,bullish_entry,2026-05-14,19.8,20.55,19.5,585617.0,512351.6,20.0,0.0101,19.5
3511,2026-05-15,bullish_entry,2026-05-14,20.4,21.25,20.05,625141.0,492747.0,20.5,0.0049,20.05
3533,2026-05-15,bullish_entry,2026-05-14,2450.0,2625.0,2360.0,3110455.0,2535284.2,2450.0,0.0,2360.0
3540,2026-05-15,bullish_entry,2026-05-14,26.65,27.75,26.6,440120.0,401843.6,26.9,0.0094,26.6
3543,2026-05-15,bullish_entry,2026-05-14,37.45,38.6,37.2,1372210.0,1336612.4,37.9,0.012,37.2
3548,2026-05-15,bullish_entry,2026-05-14,94.1,99.5,94.0,1172796.0,807284.6,94.6,0.0053,94.0
3563,2026-05-15,bullish_entry,2026-05-14,818.0,863.0,813.0,2470459.0,1586735.2,823.0,0.0061,813.0
3583,2026-05-15,bullish_entry,2026-05-14,929.0,1010.0,923.0,5211786.0,4718524.4,955.0,0.028,923.0
3587,2026-05-15,bullish_entry,2026-05-14,369.0,393.0,366.0,6170050.0,5463461.4,370.0,0.0027,366.0
3593,2026-05-15,bullish_entry,2026-05-14,17.45,18.1,17.1,40257.0,39684.0,17.45,0.0,17.1
3615,2026-05-15,bullish_entry,2026-05-14,36.15,37.85,34.25,15453248.0,6054432.0,36.25,0.0028,34.25
3625,2026-05-15,bullish_entry,2026-05-14,13.9,14.55,13.55,1267831.0,752157.6,14.5,0.0432,13.55
3628,2026-05-15,bullish_entry,2026-05-14,64.5,66.8,64.1,331969.0,209772.0,64.6,0.0016,64.1
3630,2026-05-15,bullish_entry,2026-05-14,25.15,25.9,24.8,1577373.0,1114137.2,25.5,0.0139,24.8
