ticker,trade_date,open,high,low,close,volume,ma20,ma60,ma240,vol_ma20,vol_ratio_20,is_attention_stock,is_disposition_stock,is_usable,prev_close,prev_open,prev_high,prev_low,prior_high_60,prior_high_20,prior_low_60,prior_low_20,avg_volume_20,volume_ratio,range_pct,body_abs,body_pct,close_pos,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,ma60_slope_5d,ma60_rolling_off_close,pre_breakout_trend_days,overhead_supply_layer,unfilled_gap_down_count_240d,is_red,is_black,is_doji,new_low_count_60d,is_in_breakdown_pattern,higher_low_count_60d,upper_band_spread_60d,is_pattern_breakout,attack_intensity,score_attack_quality,score_overhead_supply,score_ma60_rolloff,score_shadow_position,score_pattern_breakout,score_attack_intensity,scanner_score
2633,2025-06-12,28.45,28.5,28.3,28.5,3228431,27.755000000000003,27.2375,,3160065.9,1.0216340741501626,0.0,,1,28.4,28.1,28.45,28.05,28.45,28.45,24.75,27.2,3179142.1,1.015503836711168,0.007029876977152875,0.05000000000000071,0.00175746924428825,1.0,0.0,0.14999999999999858,0.0,2.999999999999929,0.002699634935730222,27.3,20,0.0,0.0,True,False,False,3.0,False,32.0,0.031634446397188,True,4,55.0,0.0,4.210526315789471,0.0,20.0,20.0,99.21052631578948
4111,2025-04-29,30.8,31.3,30.8,31.2,506435,29.4475,29.379166666666666,,379859.8,1.3332155705868323,0.0,,1,30.8,29.85,30.8,29.85,31.15,30.85,26.35,26.35,370694.45,1.3661790728185976,0.016233766233766232,0.3999999999999986,0.012987012987012941,0.7999999999999972,0.10000000000000142,0.0,0.25000000000000444,0.0,0.005189176859692557,28.5,11,0.0,0.0,True,False,False,3.0,False,35.0,0.008025682182985555,True,4,50.0,0.0,8.653846153846152,0.0,20.0,20.0,98.65384615384616
2891,2025-12-12,45.3,46.5,45.25,46.5,53225115,43.93,43.035,,34578084.0,1.5392731129926112,0.0,,1,45.05,45.0,45.15,44.5,45.15,45.15,41.75,42.0,33396142.05,1.5937504074666013,0.027593818984547464,1.2000000000000028,0.02649006622516563,1.0,0.0,0.04999999999999716,0.0,0.0416666666666642,0.005294919213548743,43.15,19,0.0,0.0,True,False,False,1.0,False,32.0,0.029900332225913654,True,3,55.0,0.0,7.204301075268821,0.0,20.0,15.0,97.20430107526883
1730,2025-05-06,56.1,58.0,56.1,56.5,145019,53.295,54.294999999999995,,45186.9,3.2093150891076836,0.0,,1,55.7,55.6,56.0,54.7,56.0,56.0,49.5,49.5,47421.5,3.0580854675621816,0.033868092691622075,0.3999999999999986,0.007130124777183575,0.2105263157894731,1.5,0.0,3.7500000000000133,0.0,0.0026160285608765044,53.5,3,0.0,0.0,True,False,False,1.0,False,32.0,0.0,True,2,50.0,0.0,5.309734513274336,10.0,20.0,10.0,95.30973451327434
2330,2026-04-14,2015.0,2055.0,2010.0,2055.0,46188401,1872.5,1834.4166666666667,1376.6,39141754.7,1.1800288810251012,0.0,,1,1990.0,1985.0,1995.0,1975.0,2025.0,2000.0,1645.0,1760.0,38648207.15,1.1950981534728191,0.022332506203473945,40.0,0.019851116625310174,1.0,0.0,5.0,0.0,0.125,0.017753941467474332,1705.0,18,0.0,0.0,True,False,False,1.0,False,33.0,0.0,True,2,55.0,0.0,10.0,0.0,20.0,10.0,95.0
8926,2025-10-20,49.5,51.4,49.5,50.1,6168626,47.8075,46.74,,1522982.05,4.050360278376229,0.0,,1,49.35,49.0,49.45,48.85,49.65,49.65,43.1,45.65,1261738.25,4.888990248175483,0.03838383838383835,0.6000000000000014,0.01212121212121215,0.3157894736842115,1.2999999999999972,0.0,2.1666666666666567,0.0,0.0077619663648123005,45.05,20,0.0,0.0,True,False,False,2.0,False,35.0,0.037260825780463275,True,2,45.0,0.0,10.0,10.0,20.0,10.0,95.0
2369,2026-01-07,25.9,26.65,25.4,26.65,32173378,23.182499999999997,21.649166666666666,17.390416666666667,11849993.65,2.7150544506831866,0.0,,1,24.25,22.9,24.3,22.8,24.45,24.45,18.7,22.1,11378121.85,2.827652790517444,0.04826254826254826,0.75,0.02895752895752896,1.0,0.0,0.5,0.0,0.6666666666666666,0.015002930259816472,20.6,20,0.0,0.0,True,False,False,3.0,False,31.0,0.010224948875255624,True,2,55.0,0.0,10.0,0.0,20.0,10.0,95.0
5289,2026-05-06,1560.0,1560.0,1430.0,1475.0,8127142,1181.0,993.2333333333333,526.1104166666667,4811571.45,1.6890826800462455,,,1,1420.0,1325.0,1420.0,1310.0,1420.0,1420.0,711.0,971.0,4783889.0,1.6988567251455877,0.08333333333333333,85.0,0.05448717948717949,0.34615384615384615,0.0,45.0,0.0,0.5294117647058824,0.052599971739437645,763.0,20,0.0,0.0,False,True,False,0.0,False,36.0,0.014084507042253521,True,3,50.0,0.0,10.0,0.0,20.0,15.0,95.0
2330,2026-01-02,1555.0,1585.0,1545.0,1585.0,39836425,1482.75,1461.75,1165.8875,27661430.15,1.440143361495718,0.0,,1,1550.0,1520.0,1550.0,1515.0,1550.0,1550.0,1365.0,1415.0,26942750.9,1.4785581898394793,0.02572347266881029,30.0,0.01929260450160772,1.0,0.0,10.0,0.0,0.3333333333333333,0.011533360244507351,1400.0,17,0.0,0.0,True,False,False,5.0,False,34.0,0.016129032258064516,True,2,55.0,0.0,10.0,0.0,20.0,10.0,95.0
6226,2026-03-16,11.05,11.05,11.05,11.05,2109333,9.0155,8.398166666666667,7.381083333333334,569385.5,3.7045780055867246,0.0,,1,10.05,9.18,10.05,8.9,10.7,10.05,6.5,8.09,512392.5,4.116635196651004,0.0,0.0,0.0,,0.0,0.0,,,0.02840990264710097,6.67,20,0.0,0.0,False,False,False,2.0,False,35.0,0.0,True,4,45.0,0.0,10.0,0.0,20.0,20.0,95.0
2241,2025-12-04,41.9,41.9,39.0,40.85,4043320,36.345,33.67166666666667,,850468.55,4.75422636145687,0.0,,1,38.1,37.7,38.25,37.65,38.85,38.6,24.85,33.85,724054.1,5.584278854301081,0.06921241050119328,1.0499999999999972,0.025059665871121652,0.6379310344827595,0.0,1.8500000000000014,0.0,1.761904761904768,0.03184453126995068,25.45,20,0.0,0.0,False,True,False,0.0,False,39.0,0.0038610038610038242,True,4,45.0,0.0,10.0,0.0,20.0,20.0,95.0
