ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net
2466,2025-04-16,101.0,2025-04-18,112.5,sunrise_attack_end,1,0.113861,0.108011
2466,2025-04-17,112.5,2025-04-21,107.5,high_long_black,1,-0.044444,-0.050294
2467,2025-12-08,226.5,2025-12-11,226.0,sunrise_attack_end,2,-0.002208,-0.008058
2467,2026-02-26,311.0,2026-03-05,391.5,sunrise_attack_end,3,0.258842,0.252992
2471,2025-04-25,69.5,2025-04-29,69.0,sunrise_attack_end,1,-0.007194,-0.013044
2472,2026-01-14,119.5,2026-01-21,117.0,breakout_price_break,4,-0.020921,-0.026771
2478,2025-05-16,48.9,2025-05-20,47.9,gap_attack_filled,1,-0.02045,-0.0263
2478,2026-01-13,75.0,2026-01-15,70.5,high_long_black,1,-0.06,-0.06585
2478,2026-04-17,78.9,2026-04-21,75.2,high_long_black,1,-0.046895,-0.052745
2480,2025-05-20,169.0,2025-05-26,167.0,breakout_price_break,3,-0.011834,-0.017684
2480,2025-05-21,170.0,2025-05-26,167.0,breakout_price_break,2,-0.017647,-0.023497
2480,2025-05-22,172.0,2025-05-26,167.0,breakout_price_break,1,-0.02907,-0.03492
2481,2025-08-18,60.3,2025-08-21,63.8,sunrise_attack_end,2,0.058043,0.052193
2481,2026-03-17,105.0,2026-03-19,101.0,sunrise_attack_end,1,-0.038095,-0.043945
2483,2026-04-22,24.2,2026-04-24,23.7,gap_attack_filled,1,-0.020661,-0.026511
2484,2026-01-15,27.15,2026-01-19,27.7,sunrise_attack_end,1,0.020258,0.014408
2488,2026-04-15,50.5,2026-04-20,51.8,gap_attack_filled,2,0.025743,0.019893
2488,2026-04-16,52.6,2026-04-20,51.8,gap_attack_filled,1,-0.015209,-0.021059
2492,2026-01-19,146.0,2026-01-22,150.5,breakout_price_break,2,0.030822,0.024972
2492,2026-01-20,146.0,2026-01-22,150.5,breakout_price_break,1,0.030822,0.024972
2492,2026-05-11,175.0,2026-05-14,220.0,open,3,0.257143,0.251293
2493,2025-08-05,112.5,2025-08-12,138.0,sunrise_attack_end,4,0.226667,0.220817
2603,2025-05-14,246.0,2025-05-20,255.0,sunrise_attack_end,3,0.036585,0.030735
2603,2025-05-15,247.0,2025-05-20,255.0,sunrise_attack_end,2,0.032389,0.026539
2605,2026-02-25,32.7,2026-03-04,38.6,sunrise_attack_end,3,0.180428,0.174578
2607,2025-05-16,33.7,2025-05-20,34.15,sunrise_attack_end,1,0.013353,0.007503
2607,2025-05-26,34.65,2025-05-28,34.7,breakout_price_break,1,0.001443,-0.004407
2607,2025-08-04,37.0,2025-08-07,37.1,sunrise_attack_end,2,0.002703,-0.003147
2607,2025-08-05,37.3,2025-08-07,37.1,sunrise_attack_end,1,-0.005362,-0.011212
2609,2025-05-16,84.2,2025-05-20,82.5,sunrise_attack_end,1,-0.02019,-0.02604
2612,2025-05-16,50.7,2025-05-21,50.0,reversal_k.bearish_engulfing,2,-0.013807,-0.019657
2612,2025-05-19,51.0,2025-05-21,50.0,reversal_k.bearish_engulfing,1,-0.019608,-0.025458
2612,2025-07-25,52.3,2025-07-29,50.5,breakout_price_break,1,-0.034417,-0.040267
2612,2025-10-30,59.7,2025-11-03,57.9,high_long_black,1,-0.030151,-0.036001
2612,2025-12-01,63.5,2025-12-08,68.2,high_long_black,4,0.074016,0.068166
2615,2025-05-13,93.0,2025-05-21,113.0,sunrise_attack_end,5,0.215054,0.209204
2633,2025-06-11,28.45,2025-06-18,29.05,sunrise_attack_end,4,0.02109,0.01524
2633,2025-06-12,28.4,2025-06-18,29.05,sunrise_attack_end,3,0.022887,0.017037
2633,2025-06-13,28.75,2025-06-18,29.05,sunrise_attack_end,2,0.010435,0.004585
2636,2025-05-16,85.2,2025-05-20,82.1,breakout_price_break,1,-0.036385,-0.042235
2645,2025-05-14,110.5,2025-05-20,112.5,sunrise_attack_end,3,0.0181,0.01225
2645,2025-05-15,117.0,2025-05-20,112.5,sunrise_attack_end,2,-0.038462,-0.044312
2705,2025-05-27,19.15,2025-05-29,18.95,reversal_k.bearish_engulfing,1,-0.010444,-0.016294
2727,2025-05-22,245.0,2025-05-28,256.0,sunrise_attack_end,3,0.044898,0.039048
2727,2025-05-23,251.0,2025-05-28,256.0,sunrise_attack_end,2,0.01992,0.01407
2727,2025-05-26,256.0,2025-05-28,256.0,sunrise_attack_end,1,0.0,-0.00585
2731,2025-11-17,182.5,2025-11-19,175.5,breakout_price_break,1,-0.038356,-0.044206
2743,2025-05-09,105.5,2025-05-13,105.0,breakout_price_break,1,-0.004739,-0.010589
2743,2025-05-16,116.0,2025-05-20,115.0,sunrise_attack_end,1,-0.008621,-0.014471
2745,2025-07-01,145.0,2025-07-07,150.0,sunrise_attack_end,3,0.034483,0.028633
2753,2025-11-12,218.5,2025-11-14,201.0,reversal_k.bearish_engulfing,1,-0.080092,-0.085942
2754,2025-08-29,90.5,2025-09-05,91.6,gap_attack_filled,4,0.012155,0.006305
2754,2025-09-01,90.8,2025-09-05,91.6,gap_attack_filled,3,0.008811,0.002961
2754,2025-09-08,95.5,2025-09-11,95.4,sunrise_attack_end,2,-0.001047,-0.006897
2754,2025-09-09,94.8,2025-09-11,95.4,sunrise_attack_end,1,0.006329,0.000479
2755,2025-06-10,152.0,2025-06-12,143.0,reversal_k.bearish_engulfing,1,-0.059211,-0.065061
2755,2025-08-15,165.0,2025-08-25,172.0,high_long_black,5,0.042424,0.036574
2756,2025-04-24,84.8,2025-05-05,99.6,sunrise_attack_end,5,0.174528,0.168678
2801,2025-06-25,18.9,2025-06-30,18.95,sunrise_attack_end,2,0.002646,-0.003204
2801,2025-06-26,18.95,2025-06-30,18.95,sunrise_attack_end,1,0.0,-0.00585
2801,2025-07-01,19.15,2025-07-10,19.8,sunrise_attack_end,6,0.033943,0.028093
2801,2025-07-02,19.3,2025-07-10,19.8,sunrise_attack_end,5,0.025907,0.020057
2801,2025-07-03,19.55,2025-07-10,19.8,sunrise_attack_end,4,0.012788,0.006938
2801,2025-07-07,19.8,2025-07-10,19.8,sunrise_attack_end,2,0.0,-0.00585
2812,2025-06-27,21.7,2025-07-03,22.15,sunrise_attack_end,3,0.020737,0.014887
2812,2025-06-30,22.0,2025-07-03,22.15,sunrise_attack_end,2,0.006818,0.000968
2834,2025-07-09,15.9,2025-07-16,16.3,sunrise_attack_end,4,0.025157,0.019307
2838,2025-07-11,18.4,2025-07-21,18.3,trailing_stop,5,-0.005435,-0.011285
2838,2025-10-08,19.75,2025-10-13,18.95,gap_attack_filled,1,-0.040506,-0.046356
2838,2026-04-16,21.55,2026-04-20,20.85,reversal_k.bearish_engulfing,1,-0.032483,-0.038333
2850,2025-09-03,118.0,2025-09-08,120.0,sunrise_attack_end,2,0.016949,0.011099
2851,2026-05-12,33.45,2026-05-14,34.05,sunrise_attack_end,1,0.017937,0.012087
2867,2025-10-27,6.84,2025-10-29,7.17,breakout_low_break,1,0.048246,0.042396
2867,2025-12-12,7.76,2025-12-16,7.78,sunrise_attack_end,1,0.002577,-0.003273
2867,2026-02-23,8.14,2026-02-25,8.14,sunrise_attack_end,1,0.0,-0.00585
2867,2026-02-25,8.2,2026-03-03,8.19,breakout_price_break,2,-0.00122,-0.00707
2867,2026-02-26,8.17,2026-03-03,8.19,breakout_price_break,1,0.002448,-0.003402
2880,2025-07-14,28.55,2025-07-16,28.4,breakout_price_break,1,-0.005254,-0.011104
2880,2025-07-17,29.0,2025-07-22,28.85,sunrise_attack_end,2,-0.005172,-0.011022
2880,2026-02-09,34.0,2026-02-11,34.2,sunrise_attack_end,1,0.005882,3.2e-05
2880,2026-02-11,35.95,2026-03-03,36.7,sunrise_attack_end,5,0.020862,0.015012
2881,2025-12-04,94.9,2025-12-08,94.6,sunrise_attack_end,1,-0.003161,-0.009011
2881,2025-12-08,95.3,2025-12-11,95.7,reversal_k.bearish_engulfing,2,0.004197,-0.001653
2881,2025-12-09,96.3,2025-12-11,95.7,reversal_k.bearish_engulfing,1,-0.006231,-0.012081
2881,2025-12-17,97.6,2025-12-19,96.6,breakout_price_break,1,-0.010246,-0.016096
2882,2026-02-11,81.4,2026-02-25,78.2,gap_attack_filled,2,-0.039312,-0.045162
2882,2026-02-23,79.2,2026-02-25,78.2,gap_attack_filled,1,-0.012626,-0.018476
2883,2026-02-09,18.9,2026-03-03,21.0,sunrise_attack_end,7,0.111111,0.105261
2883,2026-05-06,22.25,2026-05-13,21.5,reversal_k.dark_double_star,4,-0.033708,-0.039558
2883,2026-05-07,22.6,2026-05-13,21.5,reversal_k.dark_double_star,3,-0.048673,-0.054523
2883,2026-05-08,22.9,2026-05-13,21.5,reversal_k.dark_double_star,2,-0.061135,-0.066985
2884,2025-06-06,30.9,2025-06-12,31.1,sunrise_attack_end,3,0.006472,0.000622
2884,2025-06-09,31.1,2025-06-12,31.1,sunrise_attack_end,2,0.0,-0.00585
2884,2025-06-10,31.25,2025-06-12,31.1,sunrise_attack_end,1,-0.0048,-0.01065
2884,2025-06-13,31.55,2025-06-18,31.8,sunrise_attack_end,2,0.007924,0.002074
2884,2025-06-16,31.8,2025-06-18,31.8,sunrise_attack_end,1,0.0,-0.00585
2885,2026-04-15,50.4,2026-04-20,50.7,reversal_k.bearish_engulfing,2,0.005952,0.000102
