ticker,signal_date,entry_date,entry_price,exit_date,exit_price,exit_cond,hold_days,ret_pct,is_win,branches_fired
5443,2026-03-04,2026-03-05,90.6,2026-03-10,93.0,cond1_break_low,2,2.649,True,B1_next_day_gap_fills_up
5443,2026-03-09,2026-03-10,93.0,2026-03-17,101.0,cond3_attack_fail,5,8.6022,True,B1_next_day_gap_fills_up
5483,2024-04-11,2024-04-12,209.0,2024-04-17,201.5,cond1_break_low,2,-3.5885,False,B2_next_day_gap_filled
5483,2024-04-18,2024-04-19,196.5,2024-04-23,190.5,cond1_break_low,1,-3.0534,False,B2_next_day_gap_filled
5483,2024-07-22,2024-07-23,218.0,2024-07-23,215.5,cond3_attack_fail,0,-1.1468,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5483,2024-07-26,2024-07-29,202.0,2024-07-29,195.0,cond3_attack_fail,0,-3.4653,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5483,2024-08-02,2024-08-05,186.5,2024-08-06,181.0,cond3_attack_fail,1,-2.9491,False,B2_next_day_gap_filled
5483,2024-08-05,2024-08-06,186.0,2024-08-06,181.0,cond3_attack_fail,0,-2.6882,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5483,2024-09-04,2024-09-05,190.5,2024-09-09,186.0,cond1_break_low,1,-2.3622,False,B1_next_day_gap_fills_up
5483,2024-09-11,2024-09-12,183.5,2024-09-20,178.5,cond3_attack_fail,5,-2.7248,False,B1_next_day_gap_fills_up
5483,2024-09-24,2024-09-25,172.5,2024-10-01,176.0,cond3_attack_fail,4,2.029,True,B1_next_day_gap_fills_up
5483,2024-10-04,2024-10-07,172.0,2024-10-07,168.0,cond3_attack_fail,0,-2.3256,False,B1_next_day_gap_fills_up
5483,2024-12-13,2024-12-16,145.0,2024-12-23,138.0,cond1_break_low,4,-4.8276,False,B1_next_day_gap_fills_up
5483,2025-04-08,2025-04-09,91.0,2025-04-14,102.0,cond3_attack_fail,3,12.0879,True,B1_next_day_gap_fills_up
5483,2025-04-09,2025-04-10,94.6,2025-04-14,102.0,cond3_attack_fail,2,7.8224,True,B1_next_day_gap_fills_up
5483,2025-04-10,2025-04-11,92.9,2025-04-14,102.0,cond3_attack_fail,1,9.7955,True,B2_next_day_gap_filled
5483,2025-06-02,2025-06-03,103.5,2025-06-03,97.6,cond3_attack_fail,0,-5.7005,False,B1_next_day_gap_fills_up
5483,2025-06-23,2025-06-24,89.5,2025-06-30,91.3,cond3_attack_fail,4,2.0112,True,B1_next_day_gap_fills_up
5483,2025-06-24,2025-06-25,93.0,2025-06-30,91.3,cond3_attack_fail,3,-1.828,False,B2_next_day_gap_filled
5483,2025-09-26,2025-09-30,115.5,2025-10-01,116.0,cond3_attack_fail,1,0.4329,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5483,2025-11-05,2025-11-06,120.5,2025-11-06,117.0,cond3_attack_fail,0,-2.9046,False,B1_next_day_gap_fills_up
5483,2025-11-21,2025-11-24,99.7,2025-11-26,101.5,cond3_attack_fail,2,1.8054,True,B1_next_day_gap_fills_up
5483,2026-03-02,2026-03-03,116.5,2026-03-03,114.0,cond3_attack_fail,0,-2.1459,False,B1_next_day_gap_fills_up
5483,2026-03-09,2026-03-10,109.5,2026-03-16,110.0,cond1_break_low,3,0.4566,True,B1_next_day_gap_fills_up
5483,2026-03-23,2026-03-24,119.0,2026-03-24,115.0,cond3_attack_fail,0,-3.3613,False,B1_next_day_gap_fills_up
5483,2026-03-27,2026-03-30,110.0,2026-03-31,107.5,cond3_attack_fail,1,-2.2727,False,B1_next_day_gap_fills_up
5483,2026-05-13,2026-05-14,152.0,2026-05-18,136.5,cond1_break_low,1,-10.1974,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5483,2026-05-18,2026-05-19,138.0,2026-05-20,135.0,cond3_attack_fail,1,-2.1739,False,B2_next_day_gap_filled
5498,2024-07-26,2024-07-29,15.05,2024-07-29,14.4,cond3_attack_fail,0,-4.3189,False,B1_next_day_gap_fills_up
5498,2024-08-05,2024-08-06,13.0,2024-08-06,12.2,cond3_attack_fail,0,-6.1538,False,B1_next_day_gap_fills_up
5498,2024-09-04,2024-09-05,14.35,2024-09-05,13.95,cond3_attack_fail,0,-2.7875,False,B1_next_day_gap_fills_up
5498,2025-03-31,2025-04-01,9.53,2025-04-08,8.1,cond1_break_low,2,-15.0052,False,B1_next_day_gap_fills_up
5498,2025-04-08,2025-04-09,7.3,2025-04-16,8.84,cond3_attack_fail,5,21.0959,True,B1_next_day_gap_fills_up
5498,2025-04-09,2025-04-10,7.81,2025-04-16,8.84,cond3_attack_fail,4,13.1882,True,B1_next_day_gap_fills_up
5498,2025-04-14,2025-04-15,8.24,2025-04-16,8.84,cond3_attack_fail,1,7.2816,True,B2_next_day_gap_filled
5498,2025-06-16,2025-06-17,8.57,2025-06-17,8.43,cond3_attack_fail,0,-1.6336,False,B1_next_day_gap_fills_up
5498,2025-09-04,2025-09-05,19.65,2025-09-11,19.45,cond3_attack_fail,4,-1.0178,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5498,2025-09-24,2025-09-25,18.5,2025-09-26,18.05,cond3_attack_fail,1,-2.4324,False,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5498,2026-01-20,2026-01-21,68.8,2026-01-22,66.3,cond3_attack_fail,1,-3.6337,False,B2_next_day_gap_filled
5498,2026-03-04,2026-03-05,62.3,2026-03-10,57.7,cond1_break_low,2,-7.3836,False,B2_next_day_gap_filled
5498,2026-03-09,2026-03-10,57.7,2026-03-17,61.1,cond3_attack_fail,5,5.8925,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5498,2026-03-23,2026-03-24,58.8,2026-03-24,54.5,cond3_attack_fail,0,-7.3129,False,B1_next_day_gap_fills_up
5498,2026-05-20,2026-05-21,62.8,2026-05-27,68.8,cond3_attack_fail,4,9.5541,True,B2_next_day_gap_filled
5521,2024-01-17,2024-01-18,14.05,2024-01-19,13.9,cond3_attack_fail,1,-1.0676,False,B2_next_day_gap_filled
5521,2024-05-13,2024-05-14,13.2,2024-05-21,13.0,cond3_attack_fail,5,-1.5152,False,B1_next_day_gap_fills_up
5521,2024-08-05,2024-08-06,11.75,2024-08-06,10.8,cond3_attack_fail,0,-8.0851,False,B1_next_day_gap_fills_up
5521,2024-09-04,2024-09-05,10.6,2024-09-05,10.55,cond3_attack_fail,0,-0.4717,False,B1_next_day_gap_fills_up
5521,2024-11-12,2024-11-13,11.3,2024-11-13,11.05,cond3_attack_fail,0,-2.2124,False,B1_next_day_gap_fills_up
5521,2026-03-11,2026-03-12,13.8,2026-03-16,14.0,cond3_attack_fail,2,1.4493,True,B1_next_day_gap_fills_up
5521,2026-03-27,2026-03-30,12.75,2026-04-01,12.65,cond1_break_low,1,-0.7843,False,B1_next_day_gap_fills_up
5871,2024-01-16,2024-01-17,181.0,2024-01-19,178.0,cond1_break_low,1,-1.6575,False,B2_next_day_gap_filled
5871,2024-05-08,2024-05-09,152.5,2024-05-09,150.0,cond3_attack_fail,0,-1.6393,False,B1_next_day_gap_fills_up
5871,2024-06-27,2024-06-28,153.5,2024-07-05,157.0,cond3_attack_fail,5,2.2801,True,B1_next_day_gap_fills_up
5871,2024-07-18,2024-07-19,154.0,2024-07-23,148.0,cond1_break_low,1,-3.8961,False,B1_next_day_gap_fills_up
5871,2024-08-02,2024-08-05,145.0,2024-08-06,137.5,cond3_attack_fail,1,-5.1724,False,B1_next_day_gap_fills_up
5871,2024-08-05,2024-08-06,141.0,2024-08-06,137.5,cond3_attack_fail,0,-2.4823,False,B1_next_day_gap_fills_up
5871,2024-11-12,2024-11-13,128.5,2024-11-14,123.5,cond3_attack_fail,1,-3.8911,False,B1_next_day_gap_fills_up
5871,2024-11-13,2024-11-14,128.0,2024-11-14,123.5,cond3_attack_fail,0,-3.5156,False,B1_next_day_gap_fills_up
5871,2025-04-07,2025-04-08,100.5,2025-04-10,103.5,cond1_break_low,1,2.9851,True,B1_next_day_gap_fills_up
5871,2025-04-08,2025-04-09,102.5,2025-05-05,116.5,cond3_attack_fail,17,13.6585,True,B1_next_day_gap_fills_up
5871,2025-09-30,2025-10-01,110.5,2025-10-03,106.0,cond1_break_low,1,-4.0724,False,B1_next_day_gap_fills_up
5871,2026-03-09,2026-03-10,101.5,2026-03-11,103.5,cond3_attack_fail,1,1.9704,True,B1_next_day_gap_fills_up
5871,2026-03-12,2026-03-13,100.5,2026-03-24,104.5,cond3_attack_fail,7,3.9801,True,B1_next_day_gap_fills_up
5871,2026-05-26,2026-05-27,108.0,2026-05-27,107.0,cond3_attack_fail,0,-0.9259,False,B2_next_day_gap_filled
5876,2024-01-17,2024-01-18,44.0,2024-01-22,44.3,cond3_attack_fail,2,0.6818,True,B1_next_day_gap_fills_up
5876,2024-04-19,2024-04-22,45.45,2024-04-24,45.75,cond3_attack_fail,2,0.6601,True,B2_next_day_gap_filled
5876,2024-04-25,2024-04-26,45.05,2024-05-07,46.7,cond3_attack_fail,6,3.6626,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5876,2024-07-17,2024-07-18,42.85,2024-07-22,42.05,cond1_break_low,1,-1.867,False,B1_next_day_gap_fills_up
5876,2024-08-05,2024-08-06,38.9,2024-08-15,41.05,cond3_attack_fail,7,5.527,True,B1_next_day_gap_fills_up
5876,2024-09-04,2024-09-05,38.8,2024-09-10,38.5,cond3_attack_fail,3,-0.7732,False,B1_next_day_gap_fills_up
5876,2024-12-19,2024-12-20,39.5,2025-01-03,40.1,cond3_attack_fail,9,1.519,True,B2_next_day_gap_filled
5876,2024-12-31,2025-01-02,39.45,2025-01-03,40.1,cond3_attack_fail,1,1.6477,True,B2_next_day_gap_filled
5876,2025-02-24,2025-02-25,43.6,2025-03-05,43.4,cond1_break_low,4,-0.4587,False,B2_next_day_gap_filled
5876,2025-02-25,2025-02-26,43.75,2025-03-05,43.4,cond1_break_low,3,-0.8,False,B2_next_day_gap_filled
5876,2025-04-07,2025-04-08,42.95,2025-04-18,46.9,cond3_attack_fail,8,9.1967,True,"B1_next_day_gap_fills_up,B2_next_day_gap_filled"
5876,2025-07-31,2025-08-01,42.55,2025-08-07,44.05,cond3_attack_fail,4,3.5253,True,B1_next_day_gap_fills_up
