ticker,trade_date,market_regime,open,high,low,close,volume,avg_volume_20,volume_ratio,close_pos,prior_high_60,breakout_next_not_low_open,breakout_next_low_open,ret_10d_net,ret_20d_net,breakout_strength_pct,pre_rank_score,intraday_rows,intraday_strong_attack,below_open_after_1130,intraday_attack_failure,intraday_close_pos,intraday_return_pct,scanner_score,rank_in_date
2351,2026-04-22,bull,148.5,166.0,146.5,166.0,13549514,8199078.15,1.6525655387246185,1.0,152.0,True,False,,,9.210526315789469,85.0,251.0,True,False,False,1.0,11.785,99.0,10
3338,2026-04-22,bull,70.0,77.7,69.7,77.7,12501941,1564349.8,7.9917809942507745,1.0,73.4,True,False,,,5.858310626702989,85.0,263.0,True,False,False,1.0,11.0,99.0,11
8271,2026-04-22,bull,228.0,238.0,225.0,238.0,11157545,5050246.6,2.2093069673072994,1.0,216.5,True,False,,,9.930715935334877,85.0,198.0,True,False,False,1.0,4.386,99.0,12
3312,2026-04-22,bull,43.15,47.4,42.6,47.4,9276914,1491031.25,6.221810575734077,1.0,45.9,True,False,,,3.267973856209161,85.0,251.0,True,False,False,1.0,9.849,99.0,13
6234,2026-04-22,bull,35.6,38.25,35.0,38.25,8963987,2346947.6,3.8194235780977808,1.0,35.55,True,False,,,7.594936708860778,85.0,261.0,True,False,False,1.0,7.444,99.0,14
3034,2026-04-22,bull,416.0,434.5,416.0,432.5,7962573,4021876.9,1.97981519523882,0.8918918918918919,421.0,True,False,,,2.7315914489311144,85.0,,,,,,,85.0,15
6532,2026-04-22,bull,99.7,102.5,97.6,102.5,6512976,1721930.55,3.7823685746210844,1.0,93.2,True,False,,,9.978540772532195,85.0,,,,,,,85.0,16
6462,2026-04-22,bull,135.5,143.5,135.5,143.5,6400065,1868100.85,3.4259740313270557,1.0,130.5,True,False,,,9.961685823754785,85.0,,,,,,,85.0,17
3071,2026-04-22,bull,30.65,33.4,30.1,33.4,5154751,1968766.65,2.618264079188867,1.0,32.65,True,False,,,2.297090352220521,85.0,,,,,,,85.0,18
6291,2026-04-22,bull,480.0,506.0,462.0,506.0,3461909,2243415.7,1.5431420043998085,1.0,461.0,True,False,,,9.76138828633406,85.0,,,,,,,85.0,19
