variant,ticker,trade_date,open,high,low,close,volume,key_level,stop_price,actual_entry_open,actual_ret_10d_net,actual_ret_10d_stop_net,actual_stop_hit_10d
tradable_filter,2351,2025-04-11,61.1,66.7,61.1,66.4,2922098,61.7,60.7945,67.3,0.058043016344725105,0.058043016344725105,False
tradable_filter,2352,2026-03-09,23.0,23.3,22.55,23.2,6365334,23.05,22.437250000000002,23.0,0.024584782608695697,0.024584782608695697,False
tradable_filter,2357,2025-11-19,565.0,578.0,562.0,566.0,4407340,563.0,559.1899999999999,581.0,0.05439096385542177,-0.0433887263339072,True
tradable_filter,2357,2025-11-21,559.0,583.0,557.0,573.0,5705448,562.0,554.215,580.0,0.04415000000000004,0.04415000000000004,False
tradable_filter,2359,2025-04-11,111.0,112.5,105.0,111.0,5070714,106.0,104.475,116.0,0.020012068965517348,0.020012068965517348,False
tradable_filter,2363,2025-04-11,41.5,45.75,39.2,45.75,9838403,39.3,39.004000000000005,48.0,-0.003766666666666563,-0.003766666666666563,False
tradable_filter,2363,2026-03-09,45.75,47.4,45.65,47.0,3900735,46.05,45.421749999999996,49.5,-0.013930808080808023,-0.013930808080808023,False
tradable_filter,2364,2025-08-29,78.6,78.8,77.0,77.5,623335,77.5,76.615,78.0,0.0467141025641026,-0.023606410256410283,True
tradable_filter,2365,2025-04-11,27.9,29.75,27.1,29.7,4172521,27.4,26.9645,30.45,0.018780541871921262,0.018780541871921262,False
tradable_filter,2367,2025-11-21,23.6,23.65,22.95,23.05,4128537,23.05,22.83525,23.2,0.0372534482758621,0.0372534482758621,False
tradable_filter,2371,2025-12-18,30.25,30.85,30.0,30.75,30329201,30.2,29.85,30.55,-0.023853273322422243,-0.023853273322422243,False
tradable_filter,2374,2025-04-11,38.5,41.3,37.25,41.0,6339098,37.6,37.06375,42.6,0.029361267605633755,0.029361267605633755,False
tradable_filter,2374,2025-11-21,78.2,79.2,76.1,76.5,7430408,76.3,75.7195,77.2,0.04984948186528495,-0.02502746113989649,True
tradable_filter,2375,2026-03-24,78.9,79.6,75.6,76.9,695325,76.8,75.222,78.8,-0.017271319796954156,-0.0512560913705584,True
tradable_filter,2376,2025-04-11,180.5,202.0,180.0,202.0,9951231,181.0,179.1,215.0,0.0685686046511628,0.0685686046511628,False
tradable_filter,2376,2025-11-21,240.5,243.5,238.5,239.5,5428212,239.5,237.3075,246.0,-0.013980081300813053,-0.013980081300813053,False
tradable_filter,2376,2026-03-09,209.5,215.0,206.5,215.0,7607786,214.0,205.4675,221.0,0.04618619909502266,0.04618619909502266,False
tradable_filter,2377,2025-04-11,122.5,128.0,122.0,127.0,16014651,123.5,121.39,133.5,0.016621910112359604,0.016621910112359604,False
tradable_filter,2377,2025-08-26,135.0,136.0,132.5,134.5,5144793,133.5,131.8375,136.5,-0.05713205128205132,-0.04000750915750915,True
tradable_filter,2377,2025-11-05,102.5,103.5,101.0,103.5,8919286,103.5,100.495,104.5,-0.034558133971291906,-0.034558133971291906,False
tradable_filter,2377,2026-02-02,89.0,92.9,89.0,90.8,9429238,90.0,88.55499999999999,91.3,0.0040076122672509035,-0.0359157174151151,True
