ticker,trade_date,open,high,low,close,volume,short_entry,cover_signal,market_regime,ret_5d_short,ret_10d_short,ret_20d_short,ret_close_basis_5d_short,ret_close_basis_10d_short,ret_close_basis_20d_short
1777,2025-07-22,81.3,81.3,79.0,79.0,129782,True,False,range,0.012820512820512775,0.049136786188578974,0.06325706594885605,0.012820512820512775,0.049136786188578974,0.06325706594885605
1781,2025-09-30,13.05,13.05,12.8,12.85,52013,True,False,bull,0.007751937984496138,0.06995884773662553,0.07438016528925617,-0.003875968992248069,0.057613168724279795,0.06198347107438007
1781,2025-10-03,12.8,12.8,12.45,12.6,61917,True,False,range,0.020325203252032464,0.03292181069958855,0.03292181069958855,0.024390243902439046,0.03703703703703698,0.03703703703703698
1781,2025-11-18,11.75,11.85,11.5,11.55,44822,True,False,bear,0.02666666666666684,0.022123893805309658,0.03125000000000022,0.02666666666666684,0.022123893805309658,0.03125000000000022
1781,2025-11-21,11.55,11.55,11.1,11.25,72116,True,False,bear,-0.004405286343612258,0.008928571428571619,-0.004405286343612258,-0.008810572687224627,0.0044642857142858094,-0.008810572687224627
1783,2025-10-28,43.85,43.85,43.05,43.05,104180,True,False,bull,0.007009345794392718,0.02741358760429069,0.014117647058823568,0.005841121495327117,0.026221692491060544,0.012941176470588234
1783,2026-04-20,41.8,41.8,40.7,40.75,198621,True,False,bull,0.06396866840731086,0.03689567430025442,,0.06396866840731086,0.03689567430025442,
1783,2026-04-23,40.9,41.0,39.8,40.1,270105,True,False,bull,0.02956298200514129,0.016497461928933976,,0.03084832904884327,0.017766497461928932,
1784,2025-06-13,70.5,70.5,68.3,68.4,159937,True,False,range,-0.04249291784702547,-0.04249291784702547,0.001481481481481417,-0.03116147308781858,-0.03116147308781858,0.01333333333333342
1785,2025-07-29,51.6,52.4,50.2,50.3,5625486,True,False,range,-0.015564202334630295,-0.05065666041275785,-0.06813996316758741,-0.021400778210116767,-0.05628517823639778,-0.07366482504604055
1786,2026-01-05,73.5,73.6,71.5,72.0,500933,True,False,bull,-0.06241872561768547,-0.11858190709046457,-0.057516339869281174,-0.06371911573472044,-0.11980440097799505,-0.05882352941176472
1789,2025-05-27,17.8,18.05,17.35,17.35,1614721,True,False,range,0.011461318051575908,0.014367816091954033,0.044378698224851965,-0.005730659025787843,-0.002873563218390607,0.02662721893491149
1789,2025-12-30,17.25,17.25,16.7,16.9,1773424,True,False,bull,-0.18159806295399517,-0.3030927835051547,-0.33725490196078434,-0.18159806295399517,-0.3030927835051547,-0.33725490196078434
1789,2026-04-23,21.4,21.4,20.3,20.55,1540629,True,False,bull,0.012315270935960632,0.037878787878787845,,0.012315270935960632,0.037878787878787845,
1795,2025-09-11,190.5,190.5,185.5,186.0,2104904,True,False,range,-0.02872062663185382,-0.19827586206896552,-0.3297297297297297,-0.02872062663185382,-0.19827586206896552,-0.3297297297297297
1796,2025-06-09,45.0,45.0,44.0,44.15,20188,True,False,range,-0.0056433408577878375,-0.0022650056625141968,-0.012331838565022513,-0.003386004514672636,0.0,-0.010089686098654793
1796,2026-03-04,42.0,42.0,41.2,41.2,20469,True,False,range,0.05102040816326525,0.08278580814717484,0.11351351351351369,0.05102040816326525,0.08278580814717484,0.11351351351351369
1799,2025-06-20,56.3,56.3,53.6,53.8,218995,True,False,range,-0.04015296367112797,-0.007905138339920903,0.04801670146137793,0.028680688336520044,0.06324110671936745,0.12317327766179531
1799,2025-07-25,47.45,47.45,46.25,46.4,171452,True,False,range,0.023076923076922995,-0.002143622722400873,0.05316742081447945,0.01978021978021971,-0.005359056806002127,0.04977375565610842
1799,2026-02-02,33.15,33.15,32.35,32.4,165599,True,False,range,0.037735849056603765,0.026438569206842955,0.0060975609756097615,0.018867924528301883,0.007776049766718529,-0.012195121951219523
1799,2026-03-02,32.0,32.0,31.1,31.3,185605,True,False,bull,0.07008547008547006,-0.210592686002522,-0.145975443383356,0.07008547008547006,-0.210592686002522,-0.145975443383356
1806,2025-09-01,9.92,9.92,9.7,9.72,870696,True,False,bull,-0.012207527975584886,0.03407880724174661,0.02969247083775195,-0.011190233977619424,0.03514376996805102,0.030752916224814575
1806,2025-09-11,9.62,9.65,9.39,9.39,1466553,True,False,range,-0.006315789473684275,-0.0021141649048627142,0.03508771929824572,-0.011578947368421022,-0.007399577167019111,0.029605263157894912
1806,2026-01-05,8.99,8.99,8.7,8.74,1829739,True,False,bull,0.013574660633484337,-0.03135135135135125,0.01587301587301604,-0.011312217194570096,-0.05513513513513513,-0.009070294784580546
