variant,ticker,trade_date,market_regime,open,high,low,close,volume,breakout_level,stop_price_breakout,stop_price_atr14,ret_10d_net,ret_20d_net
breakout_attack_tradable,1295,2025-06-06,range,90.1,96.9,89.6,96.9,2993617,90.0,89.152,84.55,0.1900262886597938,0.23641804123711344
breakout_attack_tradable,1295,2025-06-09,range,97.0,106.5,95.1,106.5,2462938,96.9,94.6245,89.44999999999999,0.1655785714285715,0.17034047619047624
breakout_attack_tradable,1295,2025-06-24,range,123.5,135.0,120.5,134.5,2275973,124.0,119.8975,110.82857142857142,-0.07148706563706561,-0.1641511583011583
breakout_attack_tradable,1295,2025-09-05,bull,150.0,156.0,146.5,156.0,3387607,152.0,145.7675,137.78571428571428,-0.14687564102564107,-0.2782858974358975
breakout_attack_tradable,1301,2025-07-23,bull,39.0,40.4,38.8,40.2,34691734,39.8,38.605999999999995,37.51785714285714,-0.06003719211822665,-0.06742635467980293
breakout_attack_tradable,1301,2025-07-30,range,39.05,42.65,39.05,42.65,64585068,40.9,38.854749999999996,37.324999999999996,-0.09507363847045189,-0.0788511587485515
breakout_attack_tradable,1301,2025-11-12,bear,40.2,41.9,39.6,41.35,55869588,41.25,39.402,38.285714285714285,-0.05174371980676327,-0.044497342995169144
breakout_attack_tradable,1301,2026-01-26,bull,44.9,48.8,44.85,48.8,89416465,45.0,44.625750000000004,42.85,-0.0947171875000001,-0.0800687500000001
breakout_attack_tradable,1301,2026-02-25,bull,49.25,53.4,49.0,53.4,106167338,52.8,48.755,46.660714285714285,-0.13320849056603776,-0.11056698113207539
breakout_attack_tradable,1303,2025-07-25,range,32.35,34.2,32.0,33.65,90909520,33.0,31.84,30.785714285714285,0.06081666666666665,0.18545434782608697
breakout_attack_tradable,1303,2025-07-28,range,34.5,37.0,33.9,37.0,158707489,34.2,33.7305,32.510714285714286,0.06251461126005378,0.13490067024128685
breakout_attack_tradable,1303,2025-07-30,range,36.4,39.3,36.05,38.7,256889168,37.3,35.869749999999996,34.378571428571426,0.09492519379844958,0.1530647286821706
breakout_attack_tradable,1303,2025-07-31,range,38.7,41.8,37.5,40.95,200542382,39.3,37.3125,35.596428571428575,0.043144974874371876,0.07455201005025139
breakout_attack_tradable,1303,2025-08-18,bull,43.7,46.75,43.45,46.25,168198458,44.5,43.23275,40.703571428571436,-0.10255563230605733,-0.2088255579171094
breakout_attack_tradable,1303,2025-11-12,bear,46.05,49.8,44.85,49.8,174611856,47.5,44.625750000000004,42.910714285714285,-0.015539922480620173,0.18407248062015494
breakout_attack_tradable,1303,2025-11-13,bear,51.6,54.7,50.7,53.8,336947705,49.8,49.550999999999995,47.68214285714286,0.0728448176583493,0.14386209213051818
breakout_attack_tradable,1303,2025-11-14,bear,52.1,57.1,52.1,55.6,235389305,54.7,51.8395,49.76428571428571,0.022024564459930306,0.058609930313588875
breakout_attack_tradable,1303,2025-12-02,range,61.5,65.5,61.3,64.4,234676835,63.9,60.9935,56.885714285714286,-0.11046538461538455,-0.07969615384615378
breakout_attack_tradable,1303,2025-12-03,range,65.0,68.1,64.1,67.7,262513069,65.5,63.77949999999999,59.74999999999999,-0.16544004392386533,-0.17129655929721807
breakout_attack_tradable,1303,2026-01-16,bull,71.8,73.8,70.6,73.8,370162871,70.0,69.65,65.92142857142856,-0.0005519867549669049,0.19679900662251662
breakout_attack_tradable,1303,2026-01-19,bull,75.5,81.1,74.6,79.4,362661421,73.8,73.431,69.39999999999999,-0.06702021276595757,0.256118085106383
breakout_attack_tradable,1303,2026-01-26,bull,78.9,82.4,77.3,81.7,182958251,81.1,76.9135,72.27142857142857,-0.05463048780487809,-0.000971951219512191
