date,open,high,low,close,spread,market_ret_1d,market_open_ret
2025-04-17,19389.52,19478.0,19196.47,19338.73,-129.27,-0.006640127388535033,-0.0040312307376206835
2025-04-18,19423.98,19499.28,19376.35,19395.03,56.3,0.002911256323450351,0.004408252248208733
2025-04-21,19321.14,19359.96,19080.6,19106.2,-288.83,-0.014891959434968571,-0.003809738886714764
2025-04-22,18990.86,19059.65,18793.43,18793.43,-312.77,-0.016370078822581124,-0.006036783871204099
2025-04-23,19163.61,19639.14,19163.61,19639.14,845.71,0.04500030063697791,0.01969730911281231
2025-04-24,19752.59,19752.59,19433.37,19478.81,-160.33,-0.008163799433172692,0.005776729530926561
2025-04-25,19861.24,20012.27,19861.24,19872.73,393.92,0.020223001302440924,0.01963312953922758
2025-04-28,19972.07,20073.75,19972.07,20034.41,161.68,0.008135771985026796,0.004998809926970216
2025-04-29,20018.32,20232.63,20007.3,20232.63,198.22,0.009893977411862931,-0.0008031182350765054
2025-04-30,20215.39,20331.89,20185.31,20235.03,2.4,0.0001186202683485238,-0.0008520889276382171
2025-05-02,20534.08,20787.64,20534.08,20787.64,552.61,0.02730957156969871,0.014778826618987218
2025-05-05,20839.04,20885.54,20320.8,20532.99,-254.65,-0.012250067828767364,0.002472623154913256
2025-05-06,20353.88,20623.85,20349.56,20522.59,-10.4,-0.0005065019756013145,-0.00872303546633979
2025-05-07,20575.15,20685.28,20418.03,20546.49,23.9,0.001164570358809458,0.0025610802535158683
2025-05-08,20559.65,20747.28,20543.4,20543.4,-3.09,-0.00015039065066591029,0.0006404986934507306
2025-05-09,20690.8,20915.04,20643.56,20915.04,371.64,0.018090481614533083,0.007175053788564645
2025-05-12,20996.95,21176.13,20996.95,21129.54,214.5,0.010255777660477916,0.003916320504287807
2025-05-13,21474.02,21626.28,21330.14,21330.14,200.6,0.009493817660015225,0.016303241812173797
2025-05-14,21552.42,21782.87,21552.42,21782.87,452.73,0.021224895851597703,0.010420934883690336
2025-05-15,21776.65,21821.01,21674.32,21730.25,-52.62,-0.0024156596444820932,-0.000285545476789717
2025-05-16,21731.88,21854.5,21697.85,21843.69,113.44,0.005220372522175332,7.50106418472285e-05
2025-05-19,21786.33,21786.33,21496.69,21523.83,-319.86,-0.014643130350229128,-0.002625929959635842
2025-05-20,21631.61,21746.56,21517.1,21526.03,2.2,0.00010221229214302241,0.005007473112359495
2025-05-21,21603.58,21879.24,21603.58,21803.91,277.88,0.012909022239586232,0.0036026150665033896
2025-05-22,21733.82,21733.82,21585.31,21670.96,-132.95,-0.006097530213617697,-0.0032145610580854855
2025-05-23,21766.24,21798.88,21559.78,21652.24,-18.72,-0.0008638288289950502,0.004396667245013752
2025-05-26,21577.64,21688.45,21536.57,21536.57,-115.67,-0.005342172449594229,-0.0034453710101126633
2025-05-27,21491.65,21558.47,21310.0,21336.54,-200.03,-0.0092879228215077,-0.00208575460252014
2025-05-28,21539.15,21634.37,21305.73,21357.72,21.18,0.0009926632902992338,0.009495916395066972
2025-05-29,21531.29,21605.26,21347.3,21347.3,-10.42,-0.00048787979241238233,0.008126803797409154
2025-06-02,21253.97,21256.1,20940.98,21002.71,-344.59,-0.016142088226614115,-0.004371981468382358
2025-06-03,21126.7,21303.21,21110.63,21126.93,124.22,0.005914474846341333,0.005903523878585171
2025-06-04,21341.44,21618.09,21341.44,21618.09,491.16,0.023248053550610548,0.010153391903130249
2025-06-05,21695.93,21738.93,21626.74,21674.43,56.34,0.0026061506821370983,0.0036006881273971114
2025-06-06,21637.77,21702.46,21606.7,21660.66,-13.77,-0.0006353108247829642,-0.001691393960533194
2025-06-09,21773.45,21866.27,21717.52,21790.29,129.63,0.005984582187246401,0.005207135885979541
2025-06-10,21921.24,22294.86,21921.24,22242.14,451.85,0.020736300434734956,0.006009557468028115
2025-06-11,22376.37,22470.1,22294.6,22470.1,227.96,0.010249013808923069,0.0060349408824869055
2025-06-12,22362.67,22390.17,22253.64,22287.82,-182.28,-0.008112113430736811,-0.004781020111169987
2025-06-13,22215.5,22228.01,21984.36,22072.95,-214.87,-0.009640691642340937,-0.0032448216110861905
